concept_id,hvd_tag,concept_path,concept_label
c_91185a85,HVD_91185a85,Erdbeobachtung und Umwelt / Orthofotografie,Orthofotografie
c_b40e6d46,HVD_b40e6d46,Erdbeobachtung und Umwelt / Ozeanografisch-geografische Kennwerte,Ozeanografisch-geografische Kennwerte
c_59c93ba5,HVD_59c93ba5,Erdbeobachtung und Umwelt / Produktions- und Industrieanlagen,Produktions- und Industrieanlagen
c_83aa10a6,HVD_83aa10a6,Erdbeobachtung und Umwelt / Schutzgebiete,Schutzgebiete
c_7b8fbb64,HVD_7b8fbb64,Erdbeobachtung und Umwelt / Umweltüberwachungseinrichtungen,Umweltüberwachungseinrichtungen
c_793164b6,HVD_793164b6,Erdbeobachtung und Umwelt / Verteilung der Arten,Verteilung der Arten
c_43f88346,HVD_43f88346,Erdbeobachtung und Umwelt / Wasser,Wasser
c_ac64a52d,HVD_ac64a52d,Georaum,Georaum
c_c3de25e4,HVD_c3de25e4,Georaum / Adressen,Adressen
c_6a3f6896,HVD_6a3f6896,Georaum / Flurstücke/Grundstücke (Katasterparzellen),Flurstücke/Grundstücke (Katasterparzellen)
c_60182062,HVD_60182062,Georaum / Gebäude,Gebäude
c_6c2bb82d,HVD_6c2bb82d,Georaum / Geografische Bezeichnungen,Geografische Bezeichnungen
c_642643e6,HVD_642643e6,Georaum / Landwirtschaftliche Parzellen,Landwirtschaftliche Parzellen
c_fbd2fc3f,HVD_fbd2fc3f,Georaum / Referenzparzellen,Referenzparzellen
c_9427236f,HVD_9427236f,Georaum / Verwaltungseinheiten,Verwaltungseinheiten
c_164e0bf5,HVD_164e0bf5,Meteorologie,Meteorologie
c_3af3368c,HVD_3af3368c,Meteorologie / Beobachtungsmessdaten von Wetterstationen,Beobachtungsmessdaten von Wetterstationen
c_36807466,HVD_36807466,Meteorologie / Klimadaten: validierte Beobachtungen,Klimadaten: validierte Beobachtungen
c_13e3cf16,HVD_13e3cf16,Meteorologie / NWP-Modelldaten,NWP-Modelldaten
c_d13a4420,HVD_d13a4420,Meteorologie / Radardaten,Radardaten
c_be47b010,HVD_be47b010,Meteorologie / Wetterwarnungen,Wetterwarnungen
c_b79e35eb,HVD_b79e35eb,Mobilität,Mobilität
c_b151a0ba,HVD_b151a0ba,Mobilität / Binnenschifffahrtsdatensätze,Binnenschifffahrtsdatensätze
c_f6886b00,HVD_f6886b00,Mobilität / Binnenschifffahrtsdatensätze / Beschränkungen infolge von Hochwasser und Eis,Beschränkungen infolge von Hochwasser und Eis
c_664c9e5a,HVD_664c9e5a,Mobilität / Binnenschifffahrtsdatensätze / Fahrwasser-/Fahrrinnengrenzen,Fahrwasser-/Fahrrinnengrenzen
c_f76b01e6,HVD_f76b01e6,Mobilität / Binnenschifffahrtsdatensätze / Fahrwassermerkmale,Fahrwassermerkmale
c_e5f69a04,HVD_e5f69a04,Mobilität / Binnenschifffahrtsdatensätze / Gegenwärtige und zukünftige Wasserstände an den Pegeln,Gegenwärtige und zukünftige Wasserstände an den Pegeln
c_25f43866,HVD_25f43866,Mobilität / Binnenschifffahrtsdatensätze / Höhe der Abgaben für die Wasserstraßen-Infrastruktur,Höhe der Abgaben für die Wasserstraßen-Infrastruktur
